9.224130511283874512e-01 2.404172122478485107e-01 9.808693528175354004e-01 6.391534209251403809e-02 1.144698166847229004e+01
9.858462810516357422e-01 4.346705973148345947e-02 9.855769872665405273e-01 6.082975864410400391e-02 2.587221860885620117e+00
9.909794330596923828e-01 2.804348804056644440e-02 9.911859035491943359e-01 4.787379130721092224e-02 2.685541391372680664e+00
9.925422072410583496e-01 2.259890921413898468e-02 9.887819886207580566e-01 5.801413580775260925e-02 2.646978855133056641e+00
9.934058189392089844e-01 2.026820555329322815e-02 9.879806637763977051e-01 6.754250079393386841e-02 2.610872268676757812e+00
9.942446351051330566e-01 1.776950247585773468e-02 9.887819886207580566e-01 6.792881339788436890e-02 2.484173536300659180e+00
1.237917542457580566e-01 6.453490447998046875e+01 1.158854067325592041e-01 2.301066398620605469e+00 2.713234424591064453e+00
1.120917946100234985e-01 2.301644086837768555e+00 1.158854067325592041e-01 2.299773216247558594e+00 2.569643020629882812e+00
1.120438352227210999e-01 2.301591634750366211e+00 1.158854067325592041e-01 2.298305511474609375e+00 2.409542322158813477e+00
1.110339313745498657e-01 2.301678180694580078e+00 9.044471383094787598e-02 2.301716804504394531e+00 2.974630117416381836e+00
1.121836453676223755e-01 2.301769971847534180e+00 1.158854067325592041e-01 2.299182176589965820e+00 2.657585382461547852e+00
1.107313781976699829e-01 2.301752805709838867e+00 1.047676354646682739e-01 2.299410104751586914e+00 2.507286787033081055e+00
1.105893701314926147e-01 2.301869392395019531e+00 1.158854067325592041e-01 2.300938844680786133e+00 2.512298822402954102e+00
1.113469153642654419e-01 2.302028656005859375e+00 1.158854067325592041e-01 2.301083326339721680e+00 2.559684753417968750e+00
1.101262047886848450e-01 2.302018165588378906e+00 1.158854067325592041e-01 2.299486637115478516e+00 2.705391645431518555e+00
1.101992651820182800e-01 2.302155971527099609e+00 1.158854067325592041e-01 2.299158334732055664e+00 2.780052661895751953e+00
